[10:12:20] 📍 Loaded 563 district venues
[10:12:20] 🚀 DISTRICT SCRAPER STARTED
[10:12:33] ✅ Fetched 59 venues with shows
[10:12:33] ✅ DONE | Shows=241 | Movies=6
[16:45:46] 📍 Loaded 563 district venues
[16:45:46] 🚀 DISTRICT SCRAPER STARTED
[16:45:58] ✅ Fetched 68 venues with shows
[16:45:58] ✅ DONE | Shows=282 | Movies=6
[04:43:51] 📍 Loaded 563 district venues
[04:43:51] 🚀 DISTRICT SCRAPER STARTED
[04:43:51] ⚠ 1049243 status 429
[04:43:51] ⚠ 1078025 status 429
[04:43:51] ⚠ 1051040 status 429
[04:43:51] ⚠ 1093265 status 429
[04:43:51] ⚠ 1065383 status 429
[04:43:51] ⚠ 29998 status 429
[04:43:51] ⚠ 1039878 status 429
[04:43:51] ⚠ 1030389 status 429
[04:43:51] ⚠ 1031638 status 429
[04:43:51] ⚠ 50915 status 429
[04:43:51] ⚠ 1074151 status 429
[04:43:51] ⚠ 1024804 status 429
[04:43:51] ⚠ 1041688 status 429
[04:43:51] ⚠ 1040891 status 429
[04:43:51] ⚠ 11264 status 429
[04:43:51] ⚠ 7714 status 429
[04:43:51] ⚠ 1044503 status 429
[04:43:51] ⚠ 1076602 status 429
[04:43:51] ⚠ 1008705 status 429
[04:43:51] ⚠ 1037228 status 429
[04:43:51] ⚠ 1039860 status 429
[04:43:51] ⚠ 1039847 status 429
[04:43:51] ⚠ 1039846 status 429
[04:43:51] ⚠ 1037496 status 429
[04:43:51] ⚠ 1027478 status 429
[04:43:51] ⚠ 1041672 status 429
[04:43:51] ⚠ 1009194 status 429
[04:43:51] ⚠ 28206 status 429
[04:43:51] ⚠ 1039875 status 429
[04:43:51] ⚠ 1031636 status 429
[04:43:51] ⚠ 4106 status 429
[04:43:51] ⚠ 1047659 status 429
[04:43:51] ⚠ 1041687 status 429
[04:43:51] ⚠ 1039862 status 429
[04:43:51] ⚠ 2855 status 429
[04:43:51] ⚠ 1096733 status 429
[04:43:51] ⚠ 1094334 status 429
[04:43:51] ⚠ 9292 status 429
[04:43:51] ⚠ 1024343 status 429
[04:43:51] ⚠ 1097120 status 429
[04:43:51] ⚠ 25805 status 429
[04:43:51] ⚠ 1039864 status 429
[04:43:51] ⚠ 1001773 status 429
[04:43:51] ⚠ 1039850 status 429
[04:43:51] ⚠ 7258 status 429
[04:43:51] ⚠ 1089130 status 429
[04:43:51] ⚠ 1036959 status 429
[04:43:51] ⚠ 1040466 status 429
[04:43:51] ⚠ 1041685 status 429
[04:43:51] ⚠ 4097 status 429
[04:43:51] ⚠ 1018795 status 429
[04:43:51] ⚠ 1039865 status 429
[04:43:51] ⚠ 9242 status 429
[04:43:51] ⚠ 1046654 status 429
[04:43:51] ⚠ 44361 status 429
[04:43:51] ⚠ 9365 status 429
[04:43:51] ⚠ 1098929 status 429
[04:43:51] ⚠ 1039849 status 429
[04:43:51] ⚠ 1041244 status 429
[04:43:51] ⚠ 25803 status 429
[04:43:51] ⚠ 27151 status 429
[04:43:51] ⚠ 4693 status 429
[04:43:51] ⚠ 13958 status 429
[04:43:51] ⚠ 7543 status 429
[04:43:51] ⚠ 1039851 status 429
[04:43:51] ⚠ 1039848 status 429
[04:43:51] ⚠ 1041449 status 429
[04:43:51] ⚠ 7301 status 429
[04:43:51] ⚠ 56048 status 429
[04:43:51] ⚠ 7813 status 429
[04:43:51] ⚠ 9920 status 429
[04:43:51] ⚠ 36376 status 429
[04:43:51] ⚠ 1080239 status 429
[04:43:51] ⚠ 1041394 status 429
[04:43:51] ⚠ 4171 status 429
[04:43:51] ⚠ 27373 status 429
[04:43:51] ⚠ 4380 status 429
[04:43:51] ⚠ 1030438 status 429
[04:43:51] ⚠ 55733 status 429
[04:43:51] ⚠ 4189 status 429
[04:43:51] ⚠ 1016089 status 429
[04:43:51] ⚠ 1022965 status 429
[04:43:51] ⚠ 1018799 status 429
[04:43:51] ⚠ 1056572 status 429
[04:43:51] ⚠ 28968 status 429
[04:43:51] ⚠ 1037518 status 429
[04:43:51] ⚠ 60083 status 429
[04:43:51] ⚠ 4178 status 429
[04:43:51] ⚠ 1037525 status 429
[04:43:51] ⚠ 1075746 status 429
[04:43:51] ⚠ 24521 status 429
[04:43:51] ⚠ 1088822 status 429
[04:43:51] ⚠ 1008456 status 429
[04:43:51] ⚠ 1016053 status 429
[04:43:51] ⚠ 1041728 status 429
[04:43:51] ⚠ 1008418 status 429
[04:43:51] ⚠ 1041743 status 429
[04:43:51] ⚠ 1053400 status 429
[04:43:51] ⚠ 17069 status 429
[04:43:51] ⚠ 1018652 status 429
[04:43:51] ⚠ 10940 status 429
[04:43:51] ⚠ 25804 status 429
[04:43:51] ⚠ 1037961 status 429
[04:43:51] ⚠ 1050791 status 429
[04:43:51] ⚠ 9487 status 429
[04:43:51] ⚠ 14120 status 429
[04:43:51] ⚠ 1016133 status 429
[04:43:51] ⚠ 1030504 status 429
[04:43:51] ⚠ 1042615 status 429
[04:43:51] ⚠ 1016088 status 429
[04:43:51] ⚠ 5059 status 429
[04:43:51] ⚠ 1049666 status 429
[04:43:51] ⚠ 1036962 status 429
[04:43:51] ⚠ 1053618 status 429
[04:43:51] ⚠ 1024343 status 429
[04:43:51] ⚠ 1042635 status 429
[04:43:51] ⚠ 55272 status 429
[04:43:51] ⚠ 7841 status 429
[04:43:51] ⚠ 4891 status 429
[04:43:51] ⚠ 1007054 status 429
[04:43:51] ⚠ 1011174 status 429
[04:43:51] ⚠ 1037502 status 429
[04:43:51] ⚠ 1037511 status 429
[04:43:51] ⚠ 1042640 status 429
[04:43:51] ⚠ 28925 status 429
[04:43:51] ⚠ 4248 status 429
[04:43:51] ⚠ 3981 status 429
[04:43:51] ⚠ 4232 status 429
[04:43:51] ⚠ 3910 status 429
[04:43:51] ⚠ 1041504 status 429
[04:43:51] ⚠ 22684 status 429
[04:43:51] ⚠ 1037526 status 429
[04:43:51] ⚠ 14702 status 429
[04:43:51] ⚠ 19528 status 429
[04:43:51] ⚠ 1012595 status 429
[04:43:51] ⚠ 7881 status 429
[04:43:51] ⚠ 4028 status 429
[04:43:51] ⚠ 32194 status 429
[04:43:51] ⚠ 6044 status 429
[04:43:51] ⚠ 14694 status 429
[04:43:51] ⚠ 7534 status 429
[04:43:51] ⚠ 4008 status 429
[04:43:51] ⚠ 25860 status 429
[04:43:51] ⚠ 4067 status 429
[04:43:51] ⚠ 6057 status 429
[04:43:51] ⚠ 1067946 status 429
[04:43:51] ⚠ 58633 status 429
[04:43:51] ⚠ 43348 status 429
[04:43:51] ⚠ 9135 status 429
[04:43:51] ⚠ 1091219 status 429
[04:43:51] ⚠ 10250 status 429
[04:43:51] ⚠ 1050645 status 429
[04:43:51] ⚠ 1092958 status 429
[04:43:51] ⚠ 1018798 status 429
[04:43:51] ⚠ 1020333 status 429
[04:43:51] ⚠ 3960 status 429
[04:43:51] ⚠ 1019166 status 429
[04:43:51] ⚠ 1005799 status 429
[04:43:51] ⚠ 1005798 status 429
[04:43:51] ⚠ 1037530 status 429
